word,x,y,season
オーロンゲ(6),30.793764,-4.4550424,6
ギャラドス(6),28.769188,-13.90945,6
ドンファン(6),27.665264,2.835487,6
ベトベトン(6),23.124058,-12.67305,6
エクスレッグ(6),12.147728,-10.990546,6
フォレトス(6),4.412195,6.0331607,6
アノホラグサ(6),1.507256,15.912594,6
クレッフィ(6),8.894388,-10.454487,6
エルレイド(6),19.185282,24.93746,6
ラウドボーン(6),-16.991379,14.960827,6
パルシェン(6),13.485613,-2.2769117,6
サンダース(6),38.273155,11.990722,6
イッカネズミ(6),11.349078,-22.2383,6
ゲンガー(6),20.509722,-0.37889346,6
ゴーゴート(6),-11.999969,-1.185481,6
テツノコウベ(6),4.4426265,-3.2095923,6
チャーレム(6),6.749065,-6.323685,6
ポットデス(6),11.6087265,-9.714907,6
サーナイト(6),-10.662178,10.450514,6
メタモン(6),-7.0358596,-5.8355393,6
オドリドリ(6),13.459402,4.455851,6
コータス(6),17.510448,31.319672,6
ヤドラン(6),-1.6522136,3.613139,6
ブラッキー(6),-1.2846214,-31.339863,6
ユキノオー(6),-8.430935,-21.76884,6
カイリュー(7),-37.757378,5.293145,7
ハバタクカミ(7),-10.949541,-11.824909,7
パオジアン(7),-13.3589325,-8.251146,7
イーユイ(7),22.871204,-9.080626,7
サーフゴー(7),-36.205765,-8.070691,7
ディンルー(7),11.038167,-5.9856114,7
ミミッキュ(7),-28.501972,-0.30857408,7
テツノツツミ(7),0.4646557,-38.70133,7
ロトム(7),11.61618,-38.635185,7
ヘイラッシャ(7),-24.43542,18.178646,7
テツノドクガ(7),21.240646,13.070498,7
キノガッサ(7),-25.149014,-9.540009,7
キョジオーン(7),-15.374221,33.95147,7
チオンジェン(7),-10.807088,6.0788445,7
カバルドン(7),22.781147,23.044865,7
ドヒドイデ(7),-38.35447,17.342802,7
テツノカイナ(7),-8.206429,-4.974073,7
セグレイブ(7),37.359943,-19.42763,7
ハッサム(7),-22.966995,-33.62027,7
コノヨザル(7),0.9186968,-39.88472,7
イダイナキバ(7),21.162634,5.204504,7
ガブリアス(7),19.924023,-31.126816,7
マスカーニャ(7),39.55266,-10.395163,7
ウルガモス(7),-15.878693,-24.232868,7
ジバコイル(7),2.1718888,36.889038,7
トドロクツキ(7),14.654631,-3.4034853,7
キラフロル(7),8.90682,28.722816,7
アーマーガア(7),-24.569702,-19.050297,7
イルカマン(7),7.1315527,19.673817,7
ドオー(7),-12.249212,22.630867,7
ラッキー(7),-29.925316,23.741518,7
モロバレル(7),-33.569965,-22.609234,7
ソウブレイズ(7),-26.128176,32.983715,7
ミミズズ(7),-13.403327,-39.53501,7
テツノワダチ(7),-16.418756,3.196941,7
デカヌチャン(7),-16.120062,-2.6027842,7
ドラパルト(7),-5.340607,21.129284,7
クレベース(7),-7.379319,29.883635,7
ポットデス(7),-1.6016033,-9.682603,7
マリルリ(7),38.65051,2.8993583,7
ニンフィア(7),0.57346314,27.459328,7
ドドゲザン(7),9.5045185,-30.53096,7
イッカネズミ(7),11.577877,-22.347054,7
ボーマンダ(7),19.298296,13.337897,7
ブリムオン(7),26.937464,-21.381554,7
フワライド(7),-21.49951,8.080881,7
エルレイド(7),1.4071249,-11.951084,7
ウェーニバル(7),2.3069851,7.7088447,7
ゴチルゼル(7),14.421936,-6.9569263,7
クエスパトラ(7),1.9902681,-23.823946,7
オノノクス(7),-5.986128,1.8305408,7
テツノブジン(7),-21.832676,-8.843068,7
ウインディ(7),-3.1381876,-15.340198,7
ゲンガー(7),20.528517,-0.38501257,7
スコヴィラン(7),2.1784945,12.543374,7
ギャラドス(7),28.860525,-14.189811,7
フォレトス(7),29.710257,19.791624,7
ハピナス(7),-29.34883,7.7789288,7
ママンボウ(7),23.522655,25.912619,7
ハリーセン(7),-5.7875357,7.0407114,7
リククラゲ(7),-13.374622,6.0314393,7
サーナイト(7),-10.718907,10.687281,7
クレッフィ(7),7.686212,8.461089,7
コータス(7),17.358807,31.227093,7
トリトドン(7),-5.713786,-26.93808,7
オニゴーリ(7),13.30554,12.281071,7
パルシェン(7),13.425123,-2.324682,7
テツノコウベ(7),-0.34424078,2.7834525,7
デデンネ(7),-13.796447,-8.127981,7
ピカチュウ(7),-1.2817571,-19.582556,7
オドリドリ(7),0.21029963,-12.650782,7
スナノケガワ(7),9.022067,14.331221,7
ビビヨン(7),-6.1433845,12.504566,7
ストリンダー(7),6.0210543,-9.924262,7
カラミンゴ(7),24.65,2.7341928,7
シャワーズ(7),15.857556,21.36211,7
ブラッキー(7),-1.355461,-31.743023,7
ケンタロス(7),20.718227,-14.932144,7
アラブルタケ(7),12.317357,-1.3607723,7
バンギラス(7),12.732951,-12.463621,7
カイリュー(8),-38.75055,6.272385,8
ハバタクカミ(8),-30.54282,13.828459,8
ウーラオス(8),-16.514725,29.040325,8
サーフゴー(8),-36.837124,-8.228443,8
パオジアン(8),-15.339616,22.335766,8
テツノツツミ(8),9.149915,-18.427794,8
ミミッキュ(8),-29.356764,0.074380584,8
ディンルー(8),13.525783,-39.576607,8
ガチグマ(8),-6.7009263,20.700155,8
イーユイ(8),0.525482,-1.438338,8
ヒードラン(8),-11.954733,-18.625736,8
ガブリアス(8),20.386587,-31.520739,8
ヘイラッシャ(8),-25.107845,18.358791,8
ランドロス(8),2.7983115,-15.582771,8
ハッサム(8),-23.255394,-32.678963,8
コノヨザル(8),0.30946186,-40.85876,8
ドヒドイデ(8),-38.138325,16.525938,8
イダイトウ(8),25.101515,-12.511784,8
キノガッサ(8),-25.923037,-10.295432,8
ロトム(8),12.339811,-38.660923,8
オオニューラ(8),-16.513657,18.994726,8
ヌメルゴン(8),1.4913806,23.41328,8
セグレイブ(8),37.27628,-19.26621,8
モロバレル(8),-33.115158,-22.843313,8
